Learning Rate: 1e-05, Accum Iter: 1, Best Train Loss: 0.0021, Best Val Loss: 0.2938, Best Train Epoch: 19, Best Val Epoch: 10
Learning Rate: 1e-05, Accum Iter: 4, Best Train Loss: 0.0360, Best Val Loss: 0.3005, Best Train Epoch: 19, Best Val Epoch: 19
Learning Rate: 1e-05, Accum Iter: 1, Best Train Loss: 0.0014, Best Val Loss: 0.3024, Best Train Epoch: 19, Best Val Epoch: 11
Learning Rate: 1e-05, Accum Iter: 4, Best Train Loss: 0.0321, Best Val Loss: 0.3189, Best Train Epoch: 19, Best Val Epoch: 16
Learning Rate: 1e-05, Accum Iter: 8, Best Train Loss: 0.0953, Best Val Loss: 0.3474, Best Train Epoch: 19, Best Val Epoch: 19
Learning Rate: 1e-05, Accum Iter: 16, Best Train Loss: 0.2397, Best Val Loss: 0.4518, Best Train Epoch: 19, Best Val Epoch: 19
Learning Rate: 1e-05, Accum Iter: 32, Best Train Loss: 0.5775, Best Val Loss: 0.7907, Best Train Epoch: 19, Best Val Epoch: 19
Learning Rate: 2e-05, Accum Iter: 1, Best Train Loss: 0.0003, Best Val Loss: 0.3350, Best Train Epoch: 19, Best Val Epoch: 7
Learning Rate: 2e-05, Accum Iter: 4, Best Train Loss: 0.0055, Best Val Loss: 0.3115, Best Train Epoch: 19, Best Val Epoch: 9
Learning Rate: 2e-05, Accum Iter: 8, Best Train Loss: 0.0182, Best Val Loss: 0.3169, Best Train Epoch: 19, Best Val Epoch: 17
Learning Rate: 2e-05, Accum Iter: 16, Best Train Loss: 0.0569, Best Val Loss: 0.3402, Best Train Epoch: 19, Best Val Epoch: 19
Learning Rate: 2e-05, Accum Iter: 32, Best Train Loss: 0.1781, Best Val Loss: 0.4470, Best Train Epoch: 19, Best Val Epoch: 19
Learning Rate: 5e-05, Accum Iter: 1, Best Train Loss: 0.0001, Best Val Loss: 0.4037, Best Train Epoch: 19, Best Val Epoch: 5
Learning Rate: 5e-05, Accum Iter: 4, Best Train Loss: 0.0010, Best Val Loss: 0.3257, Best Train Epoch: 19, Best Val Epoch: 6
Learning Rate: 5e-05, Accum Iter: 8, Best Train Loss: 0.0026, Best Val Loss: 0.3374, Best Train Epoch: 19, Best Val Epoch: 10
Learning Rate: 5e-05, Accum Iter: 16, Best Train Loss: 0.0071, Best Val Loss: 0.3346, Best Train Epoch: 19, Best Val Epoch: 17
Learning Rate: 5e-05, Accum Iter: 32, Best Train Loss: 0.0226, Best Val Loss: 0.3472, Best Train Epoch: 19, Best Val Epoch: 18
Learning Rate: 0.0001, Accum Iter: 1, Best Train Loss: 0.0077, Best Val Loss: 0.3854, Best Train Epoch: 16, Best Val Epoch: 3
Learning Rate: 0.0001, Accum Iter: 4, Best Train Loss: 0.0003, Best Val Loss: 0.3501, Best Train Epoch: 19, Best Val Epoch: 7
Learning Rate: 0.0001, Accum Iter: 8, Best Train Loss: 0.0008, Best Val Loss: 0.3687, Best Train Epoch: 19, Best Val Epoch: 9
